symbol,instrument_key,open,high,low,close,volume,timestamp
RELIANCE,NSE_EQ|INE002A01018,1240.6,1243.9,1229.7,1234.9,7938482,2022-08-11
RELIANCE,NSE_EQ|INE002A01018,1234.5,1258.9,1230.7,1254.9,12249780,2022-08-12
RELIANCE,NSE_EQ|INE002A01018,1261.2,1266.5,1252.2,1263.6,6398038,2022-08-16
RELIANCE,NSE_EQ|INE002A01018,1270.15,1275.8,1265.6,1270.2,6386986,2022-08-17
RELIANCE,NSE_EQ|INE002A01018,1267.75,1272.05,1258.3,1268.4,7175264,2022-08-18
RELIANCE,NSE_EQ|INE002A01018,1263.0,1268.6,1241.5,1245.75,9160982,2022-08-19
RELIANCE,NSE_EQ|INE002A01018,1247.25,1254.1,1232.5,1242.3,9171590,2022-08-22
RELIANCE,NSE_EQ|INE002A01018,1236.3,1264.5,1235.0,1261.5,9371842,2022-08-23
RELIANCE,NSE_EQ|INE002A01018,1258.3,1272.5,1256.0,1258.1,10041082,2022-08-24
RELIANCE,NSE_EQ|INE002A01018,1262.5,1269.15,1249.9,1254.4,7622540,2022-08-25
RELIANCE,NSE_EQ|INE002A01018,1254.9,1263.0,1242.5,1247.75,10401700,2022-08-26
RELIANCE,NSE_EQ|INE002A01018,1232.0,1265.4,1228.7,1238.05,19210420,2022-08-29
RELIANCE,NSE_EQ|INE002A01018,1245.8,1260.7,1228.0,1257.25,22405942,2022-08-30
RELIANCE,NSE_EQ|INE002A01018,1230.9,1241.5,1215.7,1220.3,19279136,2022-09-01
RELIANCE,NSE_EQ|INE002A01018,1220.3,1227.4,1203.75,1206.0,12587490,2022-09-02
RELIANCE,NSE_EQ|INE002A01018,1206.3,1230.35,1206.3,1224.8,10968918,2022-09-05
RELIANCE,NSE_EQ|INE002A01018,1226.3,1242.0,1225.8,1237.65,10554286,2022-09-06
RELIANCE,NSE_EQ|INE002A01018,1227.25,1236.7,1224.85,1230.45,7251244,2022-09-07
RELIANCE,NSE_EQ|INE002A01018,1233.55,1238.2,1225.35,1232.2,6833488,2022-09-08
RELIANCE,NSE_EQ|INE002A01018,1243.9,1243.9,1222.0,1224.5,8051412,2022-09-09
RELIANCE,NSE_EQ|INE002A01018,1225.1,1244.9,1225.1,1238.2,7199844,2022-09-12
RELIANCE,NSE_EQ|INE002A01018,1247.75,1253.3,1239.6,1248.6,8607040,2022-09-13
RELIANCE,NSE_EQ|INE002A01018,1227.25,1243.9,1226.2,1233.6,8403268,2022-09-14
RELIANCE,NSE_EQ|INE002A01018,1231.05,1240.85,1218.55,1221.4,10037188,2022-09-15
RELIANCE,NSE_EQ|INE002A01018,1212.35,1216.75,1187.2,1191.1,19577152,2022-09-16
RELIANCE,NSE_EQ|INE002A01018,1191.1,1202.3,1182.6,1192.7,7340090,2022-09-19
RELIANCE,NSE_EQ|INE002A01018,1202.2,1209.5,1189.0,1192.85,8144950,2022-09-20
RELIANCE,NSE_EQ|INE002A01018,1189.95,1207.2,1189.1,1196.15,8915596,2022-09-21
RELIANCE,NSE_EQ|INE002A01018,1184.8,1192.9,1178.2,1184.9,9981578,2022-09-22
RELIANCE,NSE_EQ|INE002A01018,1184.35,1189.6,1161.05,1162.7,9226174,2022-09-23
RELIANCE,NSE_EQ|INE002A01018,1141.0,1152.3,1132.0,1133.05,12084136,2022-09-26
RELIANCE,NSE_EQ|INE002A01018,1141.0,1156.2,1124.8,1142.05,15642992,2022-09-27
RELIANCE,NSE_EQ|INE002A01018,1124.95,1133.35,1109.1,1111.65,16458544,2022-09-28
RELIANCE,NSE_EQ|INE002A01018,1124.8,1128.35,1102.4,1108.25,14206982,2022-09-29
RELIANCE,NSE_EQ|INE002A01018,1101.4,1144.8,1101.4,1133.2,18023310,2022-09-30
RELIANCE,NSE_EQ|INE002A01018,1139.8,1151.9,1126.2,1129.3,11477196,2022-10-03
RELIANCE,NSE_EQ|INE002A01018,1142.8,1152.4,1139.15,1150.1,8665324,2022-10-04
RELIANCE,NSE_EQ|INE002A01018,1157.65,1167.7,1152.5,1154.4,12929128,2022-10-06
RELIANCE,NSE_EQ|INE002A01018,1150.8,1164.75,1150.8,1159.25,7469928,2022-10-07
RELIANCE,NSE_EQ|INE002A01018,1146.2,1152.2,1138.1,1146.6,6128990,2022-10-10
RELIANCE,NSE_EQ|INE002A01018,1150.5,1150.5,1120.5,1123.8,8923214,2022-10-11
RELIANCE,NSE_EQ|INE002A01018,1121.0,1135.1,1116.7,1132.05,7182108,2022-10-12
RELIANCE,NSE_EQ|INE002A01018,1130.2,1141.0,1124.8,1135.65,7096304,2022-10-13
RELIANCE,NSE_EQ|INE002A01018,1151.0,1151.6,1129.1,1129.9,8817582,2022-10-14
RELIANCE,NSE_EQ|INE002A01018,1122.4,1150.5,1116.95,1148.0,16199322,2022-10-17
RELIANCE,NSE_EQ|INE002A01018,1154.3,1173.9,1153.45,1168.3,12022452,2022-10-18
RELIANCE,NSE_EQ|INE002A01018,1169.8,1204.8,1163.7,1188.6,18637338,2022-10-19
RELIANCE,NSE_EQ|INE002A01018,1184.35,1200.55,1184.35,1191.8,8440872,2022-10-20
RELIANCE,NSE_EQ|INE002A01018,1195.2,1199.5,1175.8,1178.0,7982276,2022-10-21
RELIANCE,NSE_EQ|INE002A01018,1172.4,1192.7,1170.2,1181.9,3263262,2022-10-24
RELIANCE,NSE_EQ|INE002A01018,1191.0,1191.0,1161.95,1163.65,11845658,2022-10-25
RELIANCE,NSE_EQ|INE002A01018,1171.5,1176.5,1159.5,1168.2,12116610,2022-10-27
RELIANCE,NSE_EQ|INE002A01018,1174.8,1208.2,1172.2,1204.0,17051670,2022-10-28
RELIANCE,NSE_EQ|INE002A01018,1211.05,1220.55,1206.85,1215.15,12026444,2022-10-31
RELIANCE,NSE_EQ|INE002A01018,1239.15,1239.15,1195.3,1205.7,13520772,2022-11-01
RELIANCE,NSE_EQ|INE002A01018,1206.9,1215.4,1198.65,1213.25,8697324,2022-11-02
RELIANCE,NSE_EQ|INE002A01018,1205.7,1219.9,1203.45,1217.8,6481382,2022-11-03
RELIANCE,NSE_EQ|INE002A01018,1217.2,1239.15,1215.85,1235.7,12177378,2022-11-04
RELIANCE,NSE_EQ|INE002A01018,1234.9,1244.1,1226.8,1242.3,11416216,2022-11-07
RELIANCE,NSE_EQ|INE002A01018,1244.1,1249.6,1234.4,1241.1,10897640,2022-11-09
RELIANCE,NSE_EQ|INE002A01018,1234.4,1237.5,1221.5,1226.05,5777214,2022-11-10
RELIANCE,NSE_EQ|INE002A01018,1239.15,1256.3,1233.45,1254.3,11920112,2022-11-11
RELIANCE,NSE_EQ|INE002A01018,1253.8,1259.2,1241.6,1248.25,8756600,2022-11-14
RELIANCE,NSE_EQ|INE002A01018,1249.8,1251.75,1234.4,1242.65,6861916,2022-11-15
RELIANCE,NSE_EQ|INE002A01018,1243.9,1246.75,1230.3,1235.5,9408326,2022-11-16
RELIANCE,NSE_EQ|INE002A01018,1232.0,1245.35,1229.6,1238.7,6450398,2022-11-17
RELIANCE,NSE_EQ|INE002A01018,1242.4,1243.45,1225.4,1238.05,5135178,2022-11-18
RELIANCE,NSE_EQ|INE002A01018,1233.45,1233.45,1212.05,1215.75,6187806,2022-11-21
RELIANCE,NSE_EQ|INE002A01018,1212.95,1224.15,1208.9,1222.5,6402018,2022-11-22
RELIANCE,NSE_EQ|INE002A01018,1227.25,1228.6,1216.4,1218.7,6210214,2022-11-23
RELIANCE,NSE_EQ|INE002A01018,1222.95,1236.3,1214.5,1229.2,9091956,2022-11-24
RELIANCE,NSE_EQ|INE002A01018,1233.9,1251.0,1230.6,1247.55,7117056,2022-11-25
RELIANCE,NSE_EQ|INE002A01018,1243.4,1296.85,1192.45,1290.4,30528602,2022-11-28
RELIANCE,NSE_EQ|INE002A01018,1288.7,1301.9,1283.95,1292.6,10708536,2022-11-29
RELIANCE,NSE_EQ|INE002A01018,1292.8,1308.5,1285.95,1301.75,25336004,2022-11-30
RELIANCE,NSE_EQ|INE002A01018,1306.75,1313.0,1294.45,1297.9,9185264,2022-12-01
RELIANCE,NSE_EQ|INE002A01018,1301.1,1309.7,1287.1,1297.4,11222400,2022-12-02
RELIANCE,NSE_EQ|INE002A01018,1292.55,1294.8,1276.3,1278.45,14358726,2022-12-05
RELIANCE,NSE_EQ|INE002A01018,1270.2,1285.4,1268.2,1282.15,8321956,2022-12-06
RELIANCE,NSE_EQ|INE002A01018,1279.7,1284.4,1259.25,1263.2,8194008,2022-12-07
RELIANCE,NSE_EQ|INE002A01018,1267.75,1270.15,1258.3,1262.6,7511244,2022-12-08
RELIANCE,NSE_EQ|INE002A01018,1261.1,1267.75,1240.05,1243.5,12254792,2022-12-09
RELIANCE,NSE_EQ|INE002A01018,1232.25,1250.1,1232.0,1245.4,9179494,2022-12-12
RELIANCE,NSE_EQ|INE002A01018,1245.4,1254.9,1242.35,1251.1,8069324,2022-12-13
RELIANCE,NSE_EQ|INE002A01018,1257.1,1257.7,1244.4,1246.55,7038646,2022-12-14
RELIANCE,NSE_EQ|INE002A01018,1240.35,1246.3,1225.35,1228.85,8413272,2022-12-15
RELIANCE,NSE_EQ|INE002A01018,1225.35,1248.1,1219.2,1222.8,15335576,2022-12-16
RELIANCE,NSE_EQ|INE002A01018,1230.1,1241.1,1223.3,1238.8,7485026,2022-12-19
RELIANCE,NSE_EQ|INE002A01018,1231.5,1251.55,1222.95,1249.55,7230994,2022-12-20
RELIANCE,NSE_EQ|INE002A01018,1249.2,1254.9,1227.8,1231.8,8257372,2022-12-21
RELIANCE,NSE_EQ|INE002A01018,1238.2,1241.4,1223.3,1228.6,7215050,2022-12-22
RELIANCE,NSE_EQ|INE002A01018,1221.7,1234.6,1187.8,1192.55,9932140,2022-12-23
RELIANCE,NSE_EQ|INE002A01018,1198.5,1211.5,1187.9,1202.95,5800454,2022-12-26
RELIANCE,NSE_EQ|INE002A01018,1205.8,1214.75,1198.8,1212.8,5580674,2022-12-27
RELIANCE,NSE_EQ|INE002A01018,1209.6,1215.2,1201.75,1212.7,7223058,2022-12-28
RELIANCE,NSE_EQ|INE002A01018,1204.4,1214.8,1203.65,1212.1,6711066,2022-12-29
RELIANCE,NSE_EQ|INE002A01018,1213.0,1228.2,1211.1,1214.0,7058524,2022-12-30
RELIANCE,NSE_EQ|INE002A01018,1215.3,1229.15,1214.5,1227.7,5147744,2023-01-02
RELIANCE,NSE_EQ|INE002A01018,1222.5,1226.3,1214.3,1218.7,7416276,2023-01-03
RELIANCE,NSE_EQ|INE002A01018,1218.7,1220.6,1198.2,1200.35,8971354,2023-01-04
RELIANCE,NSE_EQ|INE002A01018,1202.7,1208.85,1193.4,1198.2,13205036,2023-01-05
RELIANCE,NSE_EQ|INE002A01018,1204.2,1214.35,1200.2,1209.1,6148424,2023-01-06
RELIANCE,NSE_EQ|INE002A01018,1213.1,1240.1,1212.15,1237.6,10383026,2023-01-09
RELIANCE,NSE_EQ|INE002A01018,1242.0,1242.0,1213.4,1219.3,7792186,2023-01-10
RELIANCE,NSE_EQ|INE002A01018,1216.5,1219.15,1201.55,1204.0,11144898,2023-01-11
RELIANCE,NSE_EQ|INE002A01018,1203.35,1207.0,1174.8,1178.0,17128342,2023-01-12
RELIANCE,NSE_EQ|INE002A01018,1171.7,1178.6,1160.3,1176.05,19965328,2023-01-13
RELIANCE,NSE_EQ|INE002A01018,1178.5,1181.8,1156.7,1164.85,13192212,2023-01-16
RELIANCE,NSE_EQ|INE002A01018,1171.5,1183.4,1167.95,1181.4,10410378,2023-01-17
RELIANCE,NSE_EQ|INE002A01018,1178.9,1187.25,1172.6,1179.45,13022206,2023-01-18
RELIANCE,NSE_EQ|INE002A01018,1178.6,1182.5,1170.85,1178.2,11561758,2023-01-19
RELIANCE,NSE_EQ|INE002A01018,1179.6,1179.6,1161.6,1164.2,14457252,2023-01-20
RELIANCE,NSE_EQ|INE002A01018,1167.2,1175.4,1155.75,1158.3,10607060,2023-01-23
RELIANCE,NSE_EQ|INE002A01018,1162.9,1164.65,1137.8,1151.45,15966344,2023-01-24
RELIANCE,NSE_EQ|INE002A01018,1149.8,1150.85,1134.3,1135.5,11992626,2023-01-25
RELIANCE,NSE_EQ|INE002A01018,1136.4,1137.8,1101.7,1114.0,25012576,2023-01-27
RELIANCE,NSE_EQ|INE002A01018,1111.3,1130.45,1096.65,1124.65,21082300,2023-01-30
RELIANCE,NSE_EQ|INE002A01018,1135.25,1137.95,1115.7,1121.85,21972658,2023-01-31
RELIANCE,NSE_EQ|INE002A01018,1134.3,1134.3,1098.6,1115.2,18734806,2023-02-01
RELIANCE,NSE_EQ|INE002A01018,1104.75,1119.05,1101.4,1109.0,13229790,2023-02-02
RELIANCE,NSE_EQ|INE002A01018,1119.5,1119.5,1092.85,1110.0,23917022,2023-02-03
RELIANCE,NSE_EQ|INE002A01018,1103.3,1106.2,1098.95,1101.6,14367772,2023-02-06
RELIANCE,NSE_EQ|INE002A01018,1101.9,1109.25,1092.85,1099.0,14655902,2023-02-07
RELIANCE,NSE_EQ|INE002A01018,1102.4,1124.7,1099.5,1120.95,20489912,2023-02-08
RELIANCE,NSE_EQ|INE002A01018,1121.65,1129.95,1112.4,1122.9,12755412,2023-02-09
RELIANCE,NSE_EQ|INE002A01018,1122.35,1122.35,1106.3,1113.65,10448574,2023-02-10
RELIANCE,NSE_EQ|INE002A01018,1115.35,1120.0,1102.65,1107.3,10024496,2023-02-13
RELIANCE,NSE_EQ|INE002A01018,1110.45,1135.2,1107.45,1133.4,13868160,2023-02-14
RELIANCE,NSE_EQ|INE002A01018,1132.4,1161.6,1131.0,1159.1,32442100,2023-02-15
RELIANCE,NSE_EQ|INE002A01018,1167.4,1174.25,1155.8,1158.15,16717498,2023-02-16
RELIANCE,NSE_EQ|INE002A01018,1153.4,1166.5,1148.9,1163.0,11435362,2023-02-17
RELIANCE,NSE_EQ|INE002A01018,1165.3,1167.55,1148.65,1150.7,8556958,2023-02-20
RELIANCE,NSE_EQ|INE002A01018,1155.3,1166.15,1149.7,1160.1,12889844,2023-02-21
RELIANCE,NSE_EQ|INE002A01018,1156.2,1158.15,1131.95,1133.8,10675052,2023-02-22
RELIANCE,NSE_EQ|INE002A01018,1133.35,1141.35,1125.4,1128.35,9539774,2023-02-23
RELIANCE,NSE_EQ|INE002A01018,1130.5,1142.0,1128.6,1136.1,9135156,2023-02-24
RELIANCE,NSE_EQ|INE002A01018,1135.25,1138.9,1120.8,1128.5,10844876,2023-02-27
RELIANCE,NSE_EQ|INE002A01018,1122.9,1128.1,1102.7,1106.9,21297204,2023-02-28
RELIANCE,NSE_EQ|INE002A01018,1117.15,1117.9,1107.25,1117.1,11185172,2023-03-01
RELIANCE,NSE_EQ|INE002A01018,1113.8,1120.8,1106.5,1108.6,9037822,2023-03-02
RELIANCE,NSE_EQ|INE002A01018,1119.6,1140.7,1116.0,1136.9,14179850,2023-03-03
RELIANCE,NSE_EQ|INE002A01018,1143.85,1155.6,1143.85,1148.0,9849642,2023-03-06
RELIANCE,NSE_EQ|INE002A01018,1148.0,1152.9,1136.7,1152.1,15282618,2023-03-08
RELIANCE,NSE_EQ|INE002A01018,1151.5,1151.9,1122.45,1124.4,15720752,2023-03-09
RELIANCE,NSE_EQ|INE002A01018,1115.95,1117.15,1103.35,1107.0,12911628,2023-03-10
RELIANCE,NSE_EQ|INE002A01018,1110.0,1117.15,1084.3,1088.8,12366952,2023-03-13
RELIANCE,NSE_EQ|INE002A01018,1086.65,1098.55,1081.4,1084.7,15519724,2023-03-14
RELIANCE,NSE_EQ|INE002A01018,1088.6,1095.4,1061.6,1066.2,21040132,2023-03-15
RELIANCE,NSE_EQ|INE002A01018,1069.0,1074.25,1049.6,1060.9,17781362,2023-03-16
RELIANCE,NSE_EQ|INE002A01018,1069.85,1073.3,1054.6,1059.5,32936546,2023-03-17
RELIANCE,NSE_EQ|INE002A01018,1055.7,1058.05,1039.0,1049.1,18905994,2023-03-20
RELIANCE,NSE_EQ|INE002A01018,1057.55,1083.8,1056.6,1081.75,20722336,2023-03-21
RELIANCE,NSE_EQ|INE002A01018,1089.0,1092.1,1081.9,1085.0,10574114,2023-03-22
RELIANCE,NSE_EQ|INE002A01018,1080.9,1081.8,1069.0,1071.3,15734544,2023-03-23
RELIANCE,NSE_EQ|INE002A01018,1070.1,1072.35,1047.6,1050.1,11983840,2023-03-24
RELIANCE,NSE_EQ|INE002A01018,1056.85,1074.25,1048.6,1066.4,13609042,2023-03-27
RELIANCE,NSE_EQ|INE002A01018,1070.0,1075.45,1066.15,1071.4,12177968,2023-03-28
RELIANCE,NSE_EQ|INE002A01018,1067.1,1069.9,1053.8,1065.05,18208298,2023-03-29
RELIANCE,NSE_EQ|INE002A01018,1074.7,1116.9,1074.6,1111.0,27278656,2023-03-31
RELIANCE,NSE_EQ|INE002A01018,1117.6,1119.5,1103.3,1111.2,9966930,2023-04-03
RELIANCE,NSE_EQ|INE002A01018,1119.05,1119.05,1100.25,1108.5,15747672,2023-04-05
RELIANCE,NSE_EQ|INE002A01018,1104.8,1121.9,1104.8,1115.9,17850972,2023-04-06
RELIANCE,NSE_EQ|INE002A01018,1120.0,1120.2,1106.45,1108.0,12550754,2023-04-10
RELIANCE,NSE_EQ|INE002A01018,1112.4,1115.7,1107.65,1113.5,10208356,2023-04-11
RELIANCE,NSE_EQ|INE002A01018,1113.5,1128.5,1110.5,1118.4,17603122,2023-04-12
RELIANCE,NSE_EQ|INE002A01018,1121.45,1127.55,1116.2,1122.6,11986030,2023-04-13
RELIANCE,NSE_EQ|INE002A01018,1155.7,1155.7,1119.55,1128.3,17361422,2023-04-17
RELIANCE,NSE_EQ|INE002A01018,1132.9,1132.9,1108.6,1115.4,10075898,2023-04-18
RELIANCE,NSE_EQ|INE002A01018,1114.8,1123.8,1111.5,1121.0,11884616,2023-04-19
RELIANCE,NSE_EQ|INE002A01018,1122.0,1124.3,1111.5,1118.1,6785318,2023-04-20
RELIANCE,NSE_EQ|INE002A01018,1120.3,1125.25,1113.5,1119.5,7405028,2023-04-21
RELIANCE,NSE_EQ|INE002A01018,1131.9,1134.7,1119.05,1123.8,12526330,2023-04-24
RELIANCE,NSE_EQ|INE002A01018,1127.6,1134.6,1120.25,1132.4,8943500,2023-04-25
RELIANCE,NSE_EQ|INE002A01018,1133.8,1137.2,1121.95,1125.8,8344796,2023-04-26
RELIANCE,NSE_EQ|INE002A01018,1131.9,1136.2,1126.7,1132.9,8876684,2023-04-27
RELIANCE,NSE_EQ|INE002A01018,1135.25,1155.2,1135.15,1153.6,15072060,2023-04-28
RELIANCE,NSE_EQ|INE002A01018,1161.1,1165.7,1157.2,1163.4,12570504,2023-05-02
RELIANCE,NSE_EQ|INE002A01018,1165.3,1165.3,1150.05,1153.4,6838132,2023-05-03
RELIANCE,NSE_EQ|INE002A01018,1153.9,1169.0,1150.8,1166.7,8361644,2023-05-04
RELIANCE,NSE_EQ|INE002A01018,1163.4,1173.1,1161.0,1163.75,8469468,2023-05-05
RELIANCE,NSE_EQ|INE002A01018,1167.7,1183.7,1164.9,1178.1,8863764,2023-05-08
RELIANCE,NSE_EQ|INE002A01018,1179.6,1185.2,1174.0,1181.75,6259900,2023-05-09
RELIANCE,NSE_EQ|INE002A01018,1186.7,1191.4,1182.55,1189.9,10527790,2023-05-10
RELIANCE,NSE_EQ|INE002A01018,1191.0,1196.0,1180.3,1182.1,10223358,2023-05-11
RELIANCE,NSE_EQ|INE002A01018,1177.1,1185.5,1170.8,1184.05,6734976,2023-05-12
RELIANCE,NSE_EQ|INE002A01018,1186.7,1193.7,1178.7,1186.4,6616844,2023-05-15
RELIANCE,NSE_EQ|INE002A01018,1188.65,1191.3,1167.75,1169.5,8441042,2023-05-16
RELIANCE,NSE_EQ|INE002A01018,1173.9,1174.8,1157.65,1162.6,8520190,2023-05-17
RELIANCE,NSE_EQ|INE002A01018,1167.45,1171.0,1156.8,1160.1,10192052,2023-05-18
RELIANCE,NSE_EQ|INE002A01018,1160.1,1165.75,1152.8,1163.8,7795386,2023-05-19
RELIANCE,NSE_EQ|INE002A01018,1160.5,1175.3,1159.25,1170.05,7199346,2023-05-22
RELIANCE,NSE_EQ|INE002A01018,1172.75,1176.25,1168.35,1169.85,5899022,2023-05-23
RELIANCE,NSE_EQ|INE002A01018,1165.7,1174.35,1159.8,1163.0,7855234,2023-05-24
RELIANCE,NSE_EQ|INE002A01018,1160.0,1167.2,1151.5,1162.9,11123894,2023-05-25
RELIANCE,NSE_EQ|INE002A01018,1171.5,1195.8,1168.0,1194.6,12226224,2023-05-26
RELIANCE,NSE_EQ|INE002A01018,1201.5,1205.8,1194.9,1201.3,9693150,2023-05-29
RELIANCE,NSE_EQ|INE002A01018,1201.3,1209.5,1198.35,1201.0,10983142,2023-05-30
RELIANCE,NSE_EQ|INE002A01018,1191.5,1196.2,1172.9,1177.15,26249070,2023-05-31
RELIANCE,NSE_EQ|INE002A01018,1182.05,1184.3,1171.5,1174.0,14130354,2023-06-01
RELIANCE,NSE_EQ|INE002A01018,1177.7,1183.3,1168.15,1170.15,15300034,2023-06-02
RELIANCE,NSE_EQ|INE002A01018,1175.9,1183.75,1171.7,1180.65,10563064,2023-06-05
RELIANCE,NSE_EQ|INE002A01018,1183.6,1185.65,1173.4,1181.65,7255900,2023-06-06
RELIANCE,NSE_EQ|INE002A01018,1185.3,1191.5,1178.45,1190.6,9985814,2023-06-07
RELIANCE,NSE_EQ|INE002A01018,1194.35,1199.5,1187.2,1191.3,11688662,2023-06-08
RELIANCE,NSE_EQ|INE002A01018,1194.8,1195.6,1181.0,1182.9,5690818,2023-06-09
RELIANCE,NSE_EQ|INE002A01018,1179.8,1186.35,1174.8,1183.95,6189454,2023-06-12
RELIANCE,NSE_EQ|INE002A01018,1189.1,1202.7,1184.95,1201.4,10891648,2023-06-13
RELIANCE,NSE_EQ|INE002A01018,1201.5,1217.7,1199.6,1216.2,12856714,2023-06-14
RELIANCE,NSE_EQ|INE002A01018,1216.2,1221.3,1208.4,1216.55,11439210,2023-06-15
RELIANCE,NSE_EQ|INE002A01018,1220.2,1230.8,1220.2,1228.4,23405754,2023-06-16
RELIANCE,NSE_EQ|INE002A01018,1231.5,1231.5,1211.8,1216.2,6583158,2023-06-19
RELIANCE,NSE_EQ|INE002A01018,1214.15,1222.0,1208.2,1218.7,6701816,2023-06-20
RELIANCE,NSE_EQ|INE002A01018,1218.7,1224.8,1214.4,1222.15,6741040,2023-06-21
RELIANCE,NSE_EQ|INE002A01018,1218.2,1226.4,1206.75,1208.4,7377770,2023-06-22
RELIANCE,NSE_EQ|INE002A01018,1205.3,1207.4,1197.2,1198.5,6418558,2023-06-23
RELIANCE,NSE_EQ|INE002A01018,1194.8,1198.85,1186.1,1189.4,12240650,2023-06-26
RELIANCE,NSE_EQ|INE002A01018,1189.85,1196.0,1185.1,1189.8,9382476,2023-06-27
RELIANCE,NSE_EQ|INE002A01018,1197.7,1209.55,1190.5,1205.55,10994278,2023-06-28
RELIANCE,NSE_EQ|INE002A01018,1213.6,1218.5,1207.45,1215.45,10798242,2023-06-30
RELIANCE,NSE_EQ|INE002A01018,1219.2,1249.65,1217.9,1246.65,11769302,2023-07-03
RELIANCE,NSE_EQ|INE002A01018,1251.1,1251.1,1226.4,1233.8,7806228,2023-07-04
RELIANCE,NSE_EQ|INE002A01018,1243.45,1243.45,1227.6,1231.8,9923374,2023-07-05
RELIANCE,NSE_EQ|INE002A01018,1227.75,1260.35,1227.75,1257.6,18512274,2023-07-06
RELIANCE,NSE_EQ|INE002A01018,1255.85,1270.1,1252.5,1255.2,12951500,2023-07-07
RELIANCE,NSE_EQ|INE002A01018,1281.5,1313.5,1274.9,1303.5,32186876,2023-07-10
RELIANCE,NSE_EQ|INE002A01018,1312.0,1320.2,1304.75,1317.65,19433494,2023-07-11
RELIANCE,NSE_EQ|INE002A01018,1318.4,1335.4,1316.2,1319.1,18140294,2023-07-12
RELIANCE,NSE_EQ|INE002A01018,1326.8,1334.0,1304.6,1307.3,14217736,2023-07-13
RELIANCE,NSE_EQ|INE002A01018,1310.65,1315.85,1298.8,1306.2,14644968,2023-07-14
RELIANCE,NSE_EQ|INE002A01018,1309.2,1341.65,1300.2,1332.9,21516046,2023-07-17
RELIANCE,NSE_EQ|INE002A01018,1342.6,1352.3,1331.15,1344.2,25047762,2023-07-18
RELIANCE,NSE_EQ|INE002A01018,1348.8,1361.2,1333.05,1354.4,37882654,2023-07-19
RELIANCE,NSE_EQ|INE002A01018,1290.0,1315.5,1290.0,1309.9,38717624,2023-07-20
RELIANCE,NSE_EQ|INE002A01018,1304.5,1307.45,1261.8,1269.4,30249238,2023-07-21
RELIANCE,NSE_EQ|INE002A01018,1240.5,1257.5,1234.65,1243.7,23727866,2023-07-24
RELIANCE,NSE_EQ|INE002A01018,1247.0,1252.6,1240.0,1242.9,12026020,2023-07-25
RELIANCE,NSE_EQ|INE002A01018,1242.5,1273.5,1242.5,1263.1,12911012,2023-07-26
RELIANCE,NSE_EQ|INE002A01018,1267.0,1268.8,1245.2,1251.35,17226898,2023-07-27
RELIANCE,NSE_EQ|INE002A01018,1256.0,1271.4,1250.3,1263.9,20827852,2023-07-28
RELIANCE,NSE_EQ|INE002A01018,1263.9,1276.95,1259.0,1274.6,8551174,2023-07-31
RELIANCE,NSE_EQ|INE002A01018,1277.5,1279.5,1252.65,1256.6,9536632,2023-08-01
RELIANCE,NSE_EQ|INE002A01018,1254.6,1256.0,1231.8,1243.2,12748214,2023-08-02
RELIANCE,NSE_EQ|INE002A01018,1237.65,1250.45,1229.0,1237.95,10168350,2023-08-03
RELIANCE,NSE_EQ|INE002A01018,1249.4,1258.0,1235.8,1254.8,22885610,2023-08-04
RELIANCE,NSE_EQ|INE002A01018,1260.5,1264.2,1252.5,1261.9,5982870,2023-08-07
RELIANCE,NSE_EQ|INE002A01018,1264.0,1267.2,1249.8,1254.3,9844072,2023-08-08
RELIANCE,NSE_EQ|INE002A01018,1252.4,1264.5,1240.55,1262.6,11486586,2023-08-09
RELIANCE,NSE_EQ|INE002A01018,1262.5,1275.0,1254.2,1268.2,15470598,2023-08-10
RELIANCE,NSE_EQ|INE002A01018,1266.2,1279.4,1256.2,1273.6,22179330,2023-08-11
RELIANCE,NSE_EQ|INE002A01018,1269.5,1291.15,1262.5,1288.6,9575812,2023-08-14
RELIANCE,NSE_EQ|INE002A01018,1275.5,1291.4,1275.5,1287.6,10203112,2023-08-16
RELIANCE,NSE_EQ|INE002A01018,1283.55,1289.05,1266.4,1269.0,13673744,2023-08-17
RELIANCE,NSE_EQ|INE002A01018,1265.6,1288.8,1254.3,1278.4,18639978,2023-08-18
RELIANCE,NSE_EQ|INE002A01018,1270.0,1277.7,1257.8,1260.0,9221746,2023-08-21
RELIANCE,NSE_EQ|INE002A01018,1258.45,1269.0,1249.5,1259.7,7713044,2023-08-22
RELIANCE,NSE_EQ|INE002A01018,1262.1,1271.4,1258.5,1261.1,9517952,2023-08-23
RELIANCE,NSE_EQ|INE002A01018,1269.95,1269.95,1235.5,1239.9,14140020,2023-08-24
RELIANCE,NSE_EQ|INE002A01018,1228.0,1252.5,1221.3,1234.2,22222400,2023-08-25
RELIANCE,NSE_EQ|INE002A01018,1236.0,1242.0,1215.55,1221.9,12580826,2023-08-28
RELIANCE,NSE_EQ|INE002A01018,1226.0,1226.7,1204.1,1210.2,16876644,2023-08-29
RELIANCE,NSE_EQ|INE002A01018,1216.0,1221.5,1207.5,1209.0,12168946,2023-08-30
RELIANCE,NSE_EQ|INE002A01018,1211.5,1212.5,1199.95,1203.5,21638600,2023-08-31
RELIANCE,NSE_EQ|INE002A01018,1203.3,1212.8,1200.8,1206.3,18112842,2023-09-01
